#arXiv:1809.08597
#title:Search for single production of vector-like quarks decaying to a top quark and a W boson in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 lower right 
#pp → Xbq → Wtbq  , Γ/M= 10% 
#Mass(GeV),Γ/M= 10%, \sigma_theo(pb)
700 0.1 1.1373669942511047
800 0.1 0.5975820111134208
900 0.1 0.3277388687342181
1000 0.1 0.18233480008684422
1100 0.1 0.11373669942511046
1200 0.1 0.06796700557986002
1300 0.1 0.0442550395207406
1400 0.1 0.0284063967863748
1500 0.1 0.018762552716089873
1600 0.1 0.01257126212422853
1680 0.1 0.0095800209679554

