#arXiv:1809.08597
#title:Search for single production of vector-like quarks decaying to a top quark and a W boson in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 lower right 
#pp → Xbq → Wtbq  , Γ/M= 20% 
#Mass(GeV), Γ/M= 20%,  obs(pb)
800 20 0.28003026342564263
900 20 0.24098364978424255
1000 20 0.19867199185099874
1100 20 0.14713021288322287
1200 20 0.10438390514435633
1300 20 0.08011737437837976
1400 20 0.061492178017374194
1500 20 0.05848988201909042
1600 20 0.054844165761210206
1700 20 0.05179474679231213
1800 20 0.048914880152614665
1900 20 0.04822028952697204
2000 20 0.04822028952697204


